condition	position_bp	signal
RHPS4	8850	1.73361704410551
RHPS4	8950	1.58843338573827
RHPS4	9050	1.52923112656859
RHPS4	9150	1.6436987963179
RHPS4	9250	1.76767478823663
RHPS4	9350	1.78924628250292
RHPS4	9450	1.77208940579916
RHPS4	9550	1.73045050556299
RHPS4	9650	1.65128519255613
RHPS4	9750	1.60045868611103
RHPS4	9850	1.51447625148678
RHPS4	9950	1.5961588929232
Inh5	-9950	1.83510947881513
Inh5	-9850	1.81714723834049
Inh5	-9750	1.74031054724981
Inh5	-9650	1.77492663406653
Inh5	-9550	1.80546320826338
Inh5	-9450	1.70163381783001
Inh5	-9350	1.62488339467319
Inh5	-9250	1.60897602819907
Inh5	-9150	1.63037293796773
Inh5	-9050	1.56211262649745
Inh5	-8950	1.60117911356458
Inh5	-8850	1.64649520703981
Inh5	-8750	1.66624528159235
Inh5	-8650	1.70246303434539
Inh5	-8550	1.70545610033293
Inh5	-8450	1.7803402036821
Inh5	-8350	1.8226204555388
Inh5	-8250	1.75339160387559
Inh5	-8150	1.64732922619014
Inh5	-8050	1.63808184215918
Inh5	-7950	1.64103673161085
Inh5	-7850	1.65558245607945
Inh5	-7750	1.65588728108016
Inh5	-7650	1.68890601880887
Inh5	-7550	1.72017717721879
Inh5	-7450	1.66957103764619
Inh5	-7350	1.60032026520217
Inh5	-7250	1.596715469055
Inh5	-7150	1.63300754804655
Inh5	-7050	1.61751446373389
Inh5	-6950	1.609459974931
Inh5	-6850	1.63463098554477
Inh5	-6750	1.6348281002191
Inh5	-6650	1.60727408411348
Inh5	-6550	1.56966384261446
Inh5	-6450	1.46503067327775
Inh5	-6350	1.38009503093077
Inh5	-6250	1.53294230065731
Inh5	-6150	1.71984070096463
Inh5	-6050	1.71862764604615
Inh5	-5950	1.71399622769826
Inh5	-5850	1.70641470898899
Inh5	-5750	1.78238703835757
Inh5	-5650	1.72959044446974
Inh5	-5550	1.58173664291609
Inh5	-5450	1.49695557300174
Inh5	-5350	1.38696975027744
Inh5	-5250	1.4181930743249
Inh5	-5150	1.5124234987622
Inh5	-5050	1.56545588230942
Inh5	-4950	1.58754404495917
Inh5	-4850	1.57471360709103
Inh5	-4750	1.6549257756879
Inh5	-4650	1.6514131946049
Inh5	-4550	1.55740510960931
Inh5	-4450	1.53239598284153
Inh5	-4350	1.58113871877757
Inh5	-4250	1.56806077776513
Inh5	-4150	1.60277910075975
Inh5	-4050	1.57104038440088
Inh5	-3950	1.58130066616396
Inh5	-3850	1.67784183609823
Inh5	-3750	1.84986759977805
Inh5	-3650	1.82367454326608
Inh5	-3550	1.61707035179125
Inh5	-3450	1.40150888509803
Inh5	-3350	1.33860394385795
Inh5	-3250	1.47790760211137
Inh5	-3150	1.65969413538969
Inh5	-3050	1.69944888321999
Inh5	-2950	1.6159395529693
Inh5	-2850	1.50709846763225
Inh5	-2750	1.5302440569957
Inh5	-2650	1.59019532492957
Inh5	-2550	1.66625911865805
Inh5	-2450	1.80917066678997
Inh5	-2350	1.920098651225
Inh5	-2250	1.97857653635148
Inh5	-2150	1.9012716507128
Inh5	-2050	1.76521519548701
Inh5	-1950	1.7288998623908
Inh5	-1850	1.65036322345844
Inh5	-1750	1.54225581575278
Inh5	-1650	1.5631880512193
Inh5	-1550	1.60917762874541
Inh5	-1450	1.72987053609538
Inh5	-1350	1.76319760925362
Inh5	-1250	1.72667811495888
Inh5	-1150	1.67173980929346
Inh5	-1050	1.7310660988248
Inh5	-950	1.81095419528782
Inh5	-850	1.71646473152548
Inh5	-750	1.70282589465896
Inh5	-650	1.90511728381185
Inh5	-550	2.09598558577811
Inh5	-450	2.19586730794184
Inh5	-350	2.31499734661241
Inh5	-250	2.42098559590815
Inh5	-150	2.55416625828757
Inh5	-50	2.75141374304983
Inh5	50	2.63169045457132
Inh5	150	2.47327799877643
Inh5	250	2.31401959178215
Inh5	350	2.22683373886692
Inh5	450	2.164311713741
Inh5	550	2.07407018427567
Inh5	650	1.93834684685428
Inh5	750	1.8190021962553
Inh5	850	1.78315188361836
Inh5	950	1.72935239780326
Inh5	1050	1.69875104851606
Inh5	1150	1.63223139046183
Inh5	1250	1.74583155057906
Inh5	1350	1.85725061318043
Inh5	1450	1.73934198719517
Inh5	1550	1.70214540639672
Inh5	1650	1.6651361640725
Inh5	1750	1.67820607460945
Inh5	1850	1.75703516546681
Inh5	1950	1.74585547912813
Inh5	2050	1.8066241637595
Inh5	2150	1.8097674557949
Inh5	2250	1.66665380519591
Inh5	2350	1.61234165512335
Inh5	2450	1.6135325078394
Inh5	2550	1.54521835864895
Inh5	2650	1.43452578120821
Inh5	2750	1.47829576584242
Inh5	2850	1.50617355584327
Inh5	2950	1.50676118951142
Inh5	3050	1.60178009543864
Inh5	3150	1.71841713980024
Inh5	3250	1.80847562535925
Inh5	3350	1.80104904108926
Inh5	3450	1.72492482377714
Inh5	3550	1.78221411054833
Inh5	3650	1.81420403815838
Inh5	3750	1.72237974609453
Inh5	3850	1.64565966570868
Inh5	3950	1.63573734880346
Inh5	4050	1.59175949292889
Inh5	4150	1.62166612898728
Inh5	4250	1.61119807483709
Inh5	4350	1.57679906268674
Inh5	4450	1.60610006203227
Inh5	4550	1.65038878715534
Inh5	4650	1.72653578024073
Inh5	4750	1.80597973124093
Inh5	4850	1.83922223373076
Inh5	4950	1.76746911185727
Inh5	5050	1.61550423424295
Inh5	5150	1.61086900924793
Inh5	5250	1.68029074740347
Inh5	5350	1.65715123580798
Inh5	5450	1.62172981248044
Inh5	5550	1.58112305372336
Inh5	5650	1.50753608015821
Inh5	5750	1.53750741609993
Inh5	5850	1.6611653501124
Inh5	5950	1.72480179939106
Inh5	6050	1.63503899667075
Inh5	6150	1.53881955262783
Inh5	6250	1.63011818424722
Inh5	6350	1.6737086507128
Inh5	6450	1.61823973522465
Inh5	6550	1.56307475687904
Inh5	6650	1.52880532185642
Inh5	6750	1.60949856130666
Inh5	6850	1.62568543650229
